grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
x, dfid, 11puzzle, '4 3 2 6 1 8 B 5 7 9 10 11', na, na, na, na 
x, dfid, 11puzzle, '3 1 4 5 B 2 6 7 8 9 10 11', na, na, na, na 
x, dfid, 11puzzle, '3 1 2 6 7 11 8 4 10 9 B 5', na, na, na, na 
x, dfid, 11puzzle, '4 3 2 1 7 5 10 9 8 6 B 11', na, na, na, na 
x, dfid, 11puzzle, '3 1 4 6 5 2 B 7 8 9 10 11', na, na, na, na 
x, dfid, 11puzzle, '3 5 2 1 9 11 10 4 B 6 8 7', na, na, na, na 
x, dfid, 11puzzle, '1 2 B 3 6 4 7 8 5 9 10 11', 26, 332171463, 86.15, 3.85573e+06
x, dfid, 11puzzle, '3 5 1 4 7 2 6 10 8 9 B 11', na, na, na, na 
x, dfid, 11puzzle, '1 4 B 3 7 2 9 6 5 10 11 8', na, na, na, na 
x, dfid, 11puzzle, '1 2 B 3 4 5 9 11 8 7 6 10', 14, 87502, 0.03, 2.91673e+06
x, dfid, 11puzzle, 'B 2 3 1 6 5 11 7 4 9 8 10', na, na, na, na 
x, dfid, 11puzzle, '3 1 B 6 5 2 10 4 8 7 9 11', na, na, na, na 
x, dfid, 11puzzle, '3 1 2 6 8 4 9 7 5 10 B 11', na, na, na, na 
x, dfid, 11puzzle, 'B 3 2 6 1 4 9 7 5 10 11 8', na, na, na, na 
x, dfid, 11puzzle, '1 4 2 3 7 5 10 8 11 6 B 9', na, na, na, na 
x, dfid, 11puzzle, '2 3 B 6 8 5 9 11 4 7 1 10', na, na, na, na 
x, dfid, 11puzzle, '3 2 5 6 4 10 1 7 8 9 B 11', 28, 1115188367, 289.34, 3.85425e+06
x, dfid, 11puzzle, 'B 4 1 5 2 8 3 7 11 6 9 10', na, na, na, na 
x, dfid, 11puzzle, 'B 3 2 4 1 5 6 7 8 9 10 11', 24, 40633518, 10.51, 3.86618e+06
x, dfid, 11puzzle, 'B 7 2 1 3 8 4 5 6 9 10 11', na, na, na, na 
x, dfid, 11puzzle, '1 4 2 3 7 5 6 8 11 9 B 10', na, na, na, na 
x, dfid, 11puzzle, '2 4 3 1 7 5 B 6 8 9 10 11', na, na, na, na 
x, dfid, 11puzzle, '3 1 2 6 4 5 B 9 11 10 8 7', na, na, na, na 
x, dfid, 11puzzle, '6 3 4 10 1 2 9 7 5 11 B 8', na, na, na, na 
x, dfid, 11puzzle, '7 8 1 3 B 2 4 6 5 9 10 11', na, na, na, na 
x, dfid, 11puzzle, '3 5 4 6 2 1 7 10 8 9 B 11', 28, 777680013, 202, 3.8499e+06
x, dfid, 11puzzle, '3 1 2 10 4 8 5 7 11 6 B 9', na, na, na, na 
x, dfid, 11puzzle, '3 1 5 2 7 4 6 10 8 9 B 11', na, na, na, na 
x, dfid, 11puzzle, '3 1 2 6 4 5 7 10 8 9 B 11', 26, 204084066, 52.78, 3.86669e+06
x, dfid, 11puzzle, '3 1 2 4 7 5 B 6 10 9 11 8', na, na, na, na 
x, dfid, 11puzzle, '3 2 5 4 1 8 6 7 11 9 B 10', na, na, na, na 
x, dfid, 11puzzle, '3 2 B 4 1 5 6 7 8 9 10 11', 22, 18441349, 4.77, 3.86611e+06
