grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
x, dfid, topspin16-4.txt, '10 1 12 3 7 13 6 2 8 14 11 9 0 5 4 15', na, na, na, na 
x, dfid, topspin16-4.txt, '0 4 3 2 1 5 6 7 11 10 9 8 12 13 14 15', 2, 474, 2e-05, 2.37e+07
x, dfid, topspin16-4.txt, '11 3 5 2 12 0 8 9 7 6 14 4 1 10 13 15', na, na, na, na 
x, dfid, topspin16-4.txt, '8 5 9 14 12 13 6 7 11 10 1 3 4 2 0 15', na, na, na, na 
x, dfid, topspin16-4.txt, '0 13 6 7 5 10 11 1 9 12 8 3 4 14 2 15', na, na, na, na 
x, dfid, topspin16-4.txt, '14 6 12 1 10 0 9 2 5 8 13 7 4 11 3 15', na, na, na, na 
x, dfid, topspin16-4.txt, '9 8 6 1 2 4 5 10 14 13 12 11 7 3 0 15', 8, 206666473, 7.12289, 2.90144e+07
x, dfid, topspin16-4.txt, '14 6 7 10 9 2 8 4 5 3 1 13 12 11 0 15', 8, 630029256, 21.6588, 2.90888e+07
x, dfid, topspin16-4.txt, '0 10 5 6 11 7 8 9 12 1 2 14 13 4 3 15', 10, 17340809939, 595.926, 2.90989e+07
x, dfid, topspin16-4.txt, '0 7 5 11 6 14 4 2 10 13 1 9 3 8 12 15', na, na, na, na 
x, dfid, topspin16-4.txt, '0 1 2 9 5 4 3 10 6 7 13 12 11 8 14 15', 4, 71351, 0.002483, 2.87358e+07
x, dfid, topspin16-4.txt, '3 7 6 1 2 0 9 8 5 12 11 10 4 13 14 15', 6, 3379804, 0.115879, 2.91667e+07
x, dfid, topspin16-4.txt, '3 1 6 5 2 0 9 8 7 4 10 14 13 12 11 15', 6, 3152408, 0.107643, 2.92858e+07
x, dfid, topspin16-4.txt, '8 3 7 4 5 6 9 10 11 1 14 13 12 0 2 15', 8, 817239013, 27.8018, 2.93952e+07
x, dfid, topspin16-4.txt, '13 14 7 2 3 4 6 5 11 10 0 1 12 8 9 15', na, na, na, na 
x, dfid, topspin16-4.txt, '10 11 12 5 14 2 1 0 6 7 3 9 13 4 8 15', 8, 189125837, 6.64541, 2.84596e+07
x, dfid, topspin16-4.txt, '5 4 9 12 8 1 2 3 6 14 11 7 13 0 10 15', na, na, na, na 
x, dfid, topspin16-4.txt, '13 8 2 10 14 4 6 0 9 1 12 11 5 7 3 15', na, na, na, na 
x, dfid, topspin16-4.txt, '10 11 12 14 4 5 1 13 7 6 2 3 8 9 0 15', 6, 6621015, 0.226706, 2.92053e+07
x, dfid, topspin16-4.txt, '14 2 7 11 6 9 1 10 5 4 13 0 8 12 3 15', na, na, na, na 
x, dfid, topspin16-4.txt, '1 3 7 6 8 5 4 2 9 0 12 14 13 11 10 15', 8, 477418503, 16.2479, 2.93834e+07
x, dfid, topspin16-4.txt, '3 2 1 0 12 5 6 7 11 10 4 8 9 13 14 15', 6, 1864882, 0.064297, 2.90042e+07
x, dfid, topspin16-4.txt, '0 12 13 14 4 3 2 1 8 7 6 5 9 10 11 15', 4, 23416, 0.000828, 2.82802e+07
x, dfid, topspin16-4.txt, '0 1 2 3 7 6 5 9 10 11 4 14 13 12 8 15', 4, 109702, 0.003797, 2.88918e+07
x, dfid, topspin16-4.txt, '11 1 14 8 3 0 2 5 6 9 13 4 7 12 10 15', na, na, na, na 
x, dfid, topspin16-4.txt, '0 4 3 6 7 2 1 5 8 9 10 14 13 12 11 15', 4, 77967, 0.002689, 2.89948e+07
x, dfid, topspin16-4.txt, '3 5 4 12 10 8 9 11 13 1 14 0 7 2 6 15', na, na, na, na 
x, dfid, topspin16-4.txt, '8 0 13 3 9 11 2 1 5 10 12 14 6 7 4 15', na, na, na, na 
x, dfid, topspin16-4.txt, '1 2 12 7 6 8 4 14 13 11 0 9 5 10 3 15', na, na, na, na 
x, dfid, topspin16-4.txt, '0 1 5 4 3 11 7 6 2 10 13 12 8 9 14 15', 4, 88512, 0.003079, 2.8747e+07
x, dfid, topspin16-4.txt, '14 2 3 4 7 11 10 5 6 9 8 12 13 1 0 15', 4, 79945, 0.002742, 2.91557e+07
x, dfid, topspin16-4.txt, '3 2 1 0 8 9 13 12 4 5 6 7 11 10 14 15', 6, 2038105, 0.07082, 2.87787e+07
x, dfid, topspin16-4.txt, '0 8 14 4 3 6 11 10 2 12 5 1 13 9 7 15', na, na, na, na 
x, dfid, topspin16-4.txt, '8 5 12 11 9 10 13 0 1 3 7 6 2 4 14 15', 8, 363658221, 12.4011, 2.93247e+07
x, dfid, topspin16-4.txt, '14 13 4 5 1 2 8 9 3 6 7 0 12 11 10 15', 6, 8888892, 0.302711, 2.93643e+07
x, dfid, topspin16-4.txt, '5 6 8 7 3 2 9 10 11 12 13 14 4 1 0 15', 4, 58560, 0.002006, 2.91924e+07
x, dfid, topspin16-4.txt, '2 1 5 6 9 13 12 7 14 10 11 8 3 4 0 15', 6, 6606339, 0.227012, 2.91013e+07
x, dfid, topspin16-4.txt, '7 12 4 3 6 5 13 9 2 14 8 11 1 10 0 15', 8, 130856484, 4.49817, 2.90911e+07
x, dfid, topspin16-4.txt, '3 4 12 11 6 5 8 7 10 9 13 14 2 1 0 15', 4, 51587, 0.001783, 2.89327e+07
x, dfid, topspin16-4.txt, '14 13 5 1 0 3 2 9 8 7 6 10 11 12 4 15', 4, 116250, 0.003958, 2.93709e+07
x, dfid, topspin16-4.txt, '0 3 14 11 12 2 1 13 4 5 6 7 8 9 10 15', 4, 38054, 0.001304, 2.91825e+07
x, dfid, topspin16-4.txt, '0 4 5 1 2 3 6 13 9 8 7 12 11 10 14 15', 4, 48681, 0.001668, 2.91853e+07
x, dfid, topspin16-4.txt, '9 8 14 0 1 5 4 10 6 7 11 3 2 12 13 15', 8, 800113310, 27.3367, 2.92688e+07
x, dfid, topspin16-4.txt, '3 4 9 13 6 5 8 7 12 11 10 14 2 1 0 15', 4, 51696, 0.001768, 2.92398e+07
x, dfid, topspin16-4.txt, '6 7 5 2 14 10 9 12 0 1 13 3 8 11 4 15', na, na, na, na 
