grupo, algorithm, heuristic,domain, instance, cost,h0, generated, time, gen_per_sec
x, ida, Manhattan, 15puzzle_korf, '7 15 8 2 13 6 3 12 11 B 4 10 9 5 1 14', 53, 41, 18535408, 0.874729, 2.11899e+07
x, ida, Manhattan, 15puzzle_korf, '14 13 15 7 11 12 9 5 6 B 2 1 4 8 10 3', 57, 41, 499911615, 23.5281, 2.12474e+07
x, ida, Manhattan, 15puzzle_korf, '13 5 4 10 9 12 8 14 2 3 7 1 B 15 11 6', 55, 43, 18983869, 0.90971, 2.0868e+07
x, ida, Manhattan, 15puzzle_korf, '14 7 8 2 13 11 10 4 9 12 5 B 3 6 1 15', 59, 41, 455125308, 21.1751, 2.14934e+07
x, ida, Manhattan, 15puzzle_korf, '5 12 10 7 15 11 14 B 8 2 1 13 3 4 9 6', 56, 42, 82631591, 3.97921, 2.07658e+07
x, ida, Manhattan, 15puzzle_korf, '4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 B', 56, 42, 16826524, 0.834677, 2.01593e+07
x, ida, Manhattan, 15puzzle_korf, '14 7 1 9 12 3 6 15 8 11 2 5 10 B 4 13', 52, 36, 13120967, 0.635973, 2.06313e+07
x, ida, Manhattan, 15puzzle_korf, '2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 B', 52, 30, 167197367, 8.00774, 2.08795e+07
x, ida, Manhattan, 15puzzle_korf, '12 11 15 3 8 B 4 2 6 13 9 5 14 1 10 7', 50, 32, 41903763, 1.99768, 2.09762e+07
x, ida, Manhattan, 15puzzle_korf, '3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 B', 46, 32, 3365208, 0.158177, 2.1275e+07
x, ida, Manhattan, 15puzzle_korf, '13 11 8 9 B 15 7 10 4 3 6 14 5 12 2 1', 59, 43, 507919475, 23.9144, 2.12391e+07
x, ida, Manhattan, 15puzzle_korf, '5 9 13 14 6 3 7 12 10 8 4 B 15 2 11 1', 57, 43, 115279838, 5.49972, 2.0961e+07
x, ida, Manhattan, 15puzzle_korf, '14 1 9 6 4 8 12 5 7 2 3 B 10 11 13 15', 45, 35, 139862, 0.006624, 2.11144e+07
x, ida, Manhattan, 15puzzle_korf, '3 6 5 2 10 B 15 14 1 4 13 12 9 8 11 7', 46, 36, 6593499, 0.307191, 2.14638e+07
x, ida, Manhattan, 15puzzle_korf, '7 6 8 1 11 5 14 10 3 4 9 13 15 2 B 12', 59, 41, 937956636, 44.2748, 2.11849e+07
x, ida, Manhattan, 15puzzle_korf, '13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 B', 62, 44, 246661248, 11.5936, 2.12757e+07
x, ida, Manhattan, 15puzzle_korf, '1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 B', 42, 24, 7980406, 0.382371, 2.08708e+07
x, ida, Manhattan, 15puzzle_korf, '15 14 B 4 11 1 6 13 7 5 8 9 3 2 10 12', 66, 46, 599735096, 28.229, 2.12453e+07
x, ida, Manhattan, 15puzzle_korf, '6 B 14 12 1 15 9 10 11 4 7 2 8 3 5 13', 55, 43, 26412249, 1.24981, 2.1133e+07
x, ida, Manhattan, 15puzzle_korf, '7 11 8 3 14 B 6 15 1 4 13 9 5 12 2 10', 46, 36, 2117276, 0.105615, 2.00471e+07
x, ida, Manhattan, 15puzzle_korf, '6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 B', 52, 36, 30091122, 1.42708, 2.10857e+07
x, ida, Manhattan, 15puzzle_korf, '12 8 14 6 11 4 7 B 5 1 10 15 3 13 9 2', 54, 34, 257257803, 12.1782, 2.11244e+07
x, ida, Manhattan, 15puzzle_korf, '14 3 9 1 15 8 4 5 11 7 10 13 B 2 12 6', 59, 41, 332501807, 15.9655, 2.08263e+07
x, ida, Manhattan, 15puzzle_korf, '10 9 3 11 B 13 2 14 5 6 4 7 8 15 1 12', 49, 33, 13856665, 0.655255, 2.1147e+07
x, ida, Manhattan, 15puzzle_korf, '7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 B', 54, 34, 44159889, 2.08045, 2.12261e+07
x, ida, Manhattan, 15puzzle_korf, '11 4 2 7 1 B 10 15 6 9 14 8 3 13 5 12', 52, 32, 96930168, 4.62743, 2.09469e+07
x, ida, Manhattan, 15puzzle_korf, '5 7 3 12 15 13 14 8 B 10 9 6 1 4 2 11', 58, 40, 357847734, 16.7848, 2.13197e+07
x, ida, Manhattan, 15puzzle_korf, '14 1 8 15 2 6 B 3 9 12 10 13 4 7 5 11', 53, 33, 165855272, 7.927, 2.09228e+07
x, ida, Manhattan, 15puzzle_korf, '13 14 6 12 4 5 1 B 9 3 10 2 15 11 8 7', 52, 36, 10973604, 0.529998, 2.0705e+07
x, ida, Manhattan, 15puzzle_korf, '9 8 B 2 15 1 4 14 3 10 7 5 11 13 6 12', 54, 38, 97547884, 4.62055, 2.11118e+07
x, ida, Manhattan, 15puzzle_korf, '12 15 2 6 1 14 4 8 5 3 7 B 10 13 9 11', 47, 35, 2630679, 0.124158, 2.11882e+07
x, ida, Manhattan, 15puzzle_korf, '12 8 15 13 1 B 5 4 6 3 2 11 9 7 14 10', 50, 38, 1817431, 0.087592, 2.07488e+07
x, ida, Manhattan, 15puzzle_korf, '14 10 9 4 13 6 5 8 2 12 7 B 1 3 11 15', 59, 43, 593191756, 27.7157, 2.14027e+07
x, ida, Manhattan, 15puzzle_korf, '14 3 5 15 11 6 13 9 B 10 2 12 4 1 7 8', 60, 42, 407509844, 19.2674, 2.11502e+07
x, ida, Manhattan, 15puzzle_korf, '6 11 7 8 13 2 5 4 1 10 3 9 14 B 12 15', 52, 36, 42504578, 2.00215, 2.12295e+07
x, ida, Manhattan, 15puzzle_korf, '1 6 12 14 3 2 15 8 4 5 13 9 B 7 11 10', 55, 39, 61061315, 2.86445, 2.13169e+07
x, ida, Manhattan, 15puzzle_korf, '12 6 B 4 7 3 15 1 13 9 8 11 2 14 5 10', 52, 36, 45926653, 2.19987, 2.0877e+07
x, ida, Manhattan, 15puzzle_korf, '8 1 7 12 11 B 10 5 9 15 6 13 14 2 3 4', 58, 40, 278791334, 12.9761, 2.1485e+07
x, ida, Manhattan, 15puzzle_korf, '9 B 4 10 1 14 15 3 12 6 5 7 11 13 8 2', 49, 35, 17300851, 0.837474, 2.06584e+07
x, ida, Manhattan, 15puzzle_korf, '11 5 1 14 4 12 10 B 2 7 13 3 9 15 6 8', 54, 36, 90424114, 4.45597, 2.02928e+07
x, ida, Manhattan, 15puzzle_korf, '8 13 10 9 11 3 15 6 B 1 2 14 12 5 4 7', 54, 36, 68724313, 3.21417, 2.13817e+07
x, ida, Manhattan, 15puzzle_korf, '4 5 7 2 9 14 12 13 B 3 6 11 8 1 15 10', 42, 30, 293903, 0.014052, 2.09154e+07
x, ida, Manhattan, 15puzzle_korf, '11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 B', 64, 48, 92389763, 4.297, 2.1501e+07
x, ida, Manhattan, 15puzzle_korf, '12 9 B 6 8 3 5 14 2 4 11 7 10 1 15 13', 50, 32, 81784679, 3.84714, 2.12586e+07
x, ida, Manhattan, 15puzzle_korf, '3 14 9 7 12 15 B 4 1 8 5 6 11 10 2 13', 51, 39, 3095328, 0.145099, 2.13325e+07
x, ida, Manhattan, 15puzzle_korf, '8 4 6 1 14 12 2 15 13 10 9 5 3 7 B 11', 49, 35, 9821836, 0.455038, 2.15847e+07
x, ida, Manhattan, 15puzzle_korf, '6 10 1 14 15 8 3 5 13 B 2 7 4 9 11 12', 47, 35, 3467318, 0.16335, 2.12263e+07
x, ida, Manhattan, 15puzzle_korf, '8 11 4 6 7 3 10 9 2 12 15 13 B 1 5 14', 49, 39, 1584769, 0.074689, 2.12182e+07
x, ida, Manhattan, 15puzzle_korf, '10 B 2 4 5 1 6 12 11 13 9 7 15 3 14 8', 59, 33, 1503425769, 70.4572, 2.13381e+07
x, ida, Manhattan, 15puzzle_korf, '12 5 13 11 2 10 B 9 7 8 4 3 14 6 15 1', 53, 39, 62046219, 2.9154, 2.12822e+07
x, ida, Manhattan, 15puzzle_korf, '10 2 8 4 15 B 1 14 11 13 3 6 9 7 5 12', 56, 44, 33912193, 1.58583, 2.13845e+07
x, ida, Manhattan, 15puzzle_korf, '10 8 B 12 3 7 6 2 1 14 4 11 15 13 9 5', 56, 38, 265618145, 12.5389, 2.11835e+07
x, ida, Manhattan, 15puzzle_korf, '14 9 12 13 15 4 8 10 B 2 1 7 3 11 5 6', 64, 50, 2162615557, 100.548, 2.15084e+07
x, ida, Manhattan, 15puzzle_korf, '12 11 B 8 10 2 13 15 5 4 7 3 6 9 14 1', 56, 40, 216947887, 10.1505, 2.13732e+07
x, ida, Manhattan, 15puzzle_korf, '13 8 14 3 9 1 B 7 15 5 4 10 12 2 6 11', 41, 29, 928280, 0.043656, 2.12635e+07
x, ida, Manhattan, 15puzzle_korf, '3 15 2 5 11 6 4 7 12 9 1 B 13 14 10 8', 55, 29, 1463603532, 68.6523, 2.13191e+07
x, ida, Manhattan, 15puzzle_korf, '5 11 6 9 4 13 12 B 8 2 15 10 1 7 3 14', 50, 36, 7849819, 0.372562, 2.10698e+07
x, ida, Manhattan, 15puzzle_korf, '5 B 15 8 4 6 1 14 10 11 3 9 7 12 2 13', 51, 37, 13139506, 0.618612, 2.12403e+07
x, ida, Manhattan, 15puzzle_korf, '15 14 6 7 10 1 B 11 12 8 4 9 2 5 13 3', 57, 35, 2742604044, 129.513, 2.11762e+07
x, ida, Manhattan, 15puzzle_korf, '11 14 13 1 2 3 12 4 15 7 9 5 10 6 8 B', 66, 48, 2790248963, 131.008, 2.12983e+07
x, ida, Manhattan, 15puzzle_korf, '6 13 3 2 11 9 5 10 1 7 12 14 8 4 B 15', 45, 31, 6369454, 0.312691, 2.03698e+07
x, ida, Manhattan, 15puzzle_korf, '4 6 12 B 14 2 9 13 11 8 3 15 7 10 1 5', 57, 43, 24560613, 1.19214, 2.06021e+07
x, ida, Manhattan, 15puzzle_korf, '8 10 9 11 14 1 7 15 13 4 B 12 6 2 5 3', 56, 40, 1087018257, 51.4097, 2.11442e+07
x, ida, Manhattan, 15puzzle_korf, '5 2 14 B 7 8 6 3 11 12 13 15 4 10 9 1', 51, 31, 257881222, 12.4298, 2.07469e+07
x, ida, Manhattan, 15puzzle_korf, '7 8 3 2 10 12 4 6 11 13 5 15 B 1 9 14', 47, 31, 8549611, 0.418406, 2.04338e+07
x, ida, Manhattan, 15puzzle_korf, '11 6 14 12 3 5 1 15 8 B 10 13 9 7 4 2', 61, 41, 1758250866, 84.4242, 2.08264e+07
x, ida, Manhattan, 15puzzle_korf, '7 1 2 4 8 3 6 11 10 15 B 5 14 12 13 9', 50, 28, 143598004, 7.03075, 2.04243e+07
x, ida, Manhattan, 15puzzle_korf, '7 3 1 13 12 10 5 2 8 B 6 11 14 15 4 9', 51, 31, 133776517, 6.34623, 2.10797e+07
x, ida, Manhattan, 15puzzle_korf, '6 B 5 15 1 14 4 9 2 13 8 10 11 12 7 3', 53, 37, 114096477, 5.40006, 2.11287e+07
x, ida, Manhattan, 15puzzle_korf, '15 1 3 12 4 B 6 5 2 8 14 9 13 10 7 11', 52, 30, 133670357, 7.31695, 1.82686e+07
x, ida, Manhattan, 15puzzle_korf, '5 7 B 11 12 1 9 10 15 6 2 3 8 4 13 14', 44, 30, 9903733, 0.582934, 1.69895e+07
x, ida, Manhattan, 15puzzle_korf, '12 15 11 10 4 5 14 B 13 7 1 2 9 8 3 6', 56, 38, 1406315086, 64.8804, 2.16755e+07
x, ida, Manhattan, 15puzzle_korf, '6 14 10 5 15 8 7 1 3 4 2 B 12 9 11 13', 49, 37, 869929, 0.040156, 2.16637e+07
x, ida, Manhattan, 15puzzle_korf, '14 13 4 11 15 8 6 9 B 7 3 1 2 10 12 5', 56, 46, 7466988, 0.348625, 2.14184e+07
x, ida, Manhattan, 15puzzle_korf, '14 4 B 10 6 5 1 3 9 2 13 15 12 7 8 11', 48, 30, 44883021, 2.10825, 2.12893e+07
x, ida, Manhattan, 15puzzle_korf, '15 10 8 3 B 6 9 5 1 14 13 11 7 2 12 4', 57, 41, 242069175, 11.3388, 2.13487e+07
x, ida, Manhattan, 15puzzle_korf, 'B 13 2 4 12 14 6 9 15 1 10 3 11 5 8 7', 54, 34, 18714959, 0.878159, 2.13116e+07
x, ida, Manhattan, 15puzzle_korf, '3 14 13 6 4 15 8 9 5 12 10 B 2 7 1 11', 53, 41, 12838118, 0.597192, 2.14975e+07
x, ida, Manhattan, 15puzzle_korf, 'B 1 9 7 11 13 5 3 14 12 4 2 8 6 10 15', 42, 28, 523293, 0.024463, 2.13912e+07
x, ida, Manhattan, 15puzzle_korf, '11 B 15 8 13 12 3 5 10 1 4 6 14 9 7 2', 57, 43, 136110225, 6.33457, 2.14869e+07
x, ida, Manhattan, 15puzzle_korf, '13 B 9 12 11 6 3 5 15 8 1 10 4 14 2 7', 53, 39, 9969062, 0.465411, 2.14199e+07
x, ida, Manhattan, 15puzzle_korf, '14 10 2 1 13 9 8 11 7 3 6 12 15 5 4 B', 62, 40, 17893666283, 841.054, 2.12753e+07
x, ida, Manhattan, 15puzzle_korf, '12 3 9 1 4 5 10 2 6 11 15 B 14 7 13 8', 49, 31, 39012064, 1.81965, 2.14394e+07
x, ida, Manhattan, 15puzzle_korf, '15 8 10 7 B 12 14 1 5 9 6 3 13 11 4 2', 55, 37, 340039424, 15.9427, 2.13289e+07
x, ida, Manhattan, 15puzzle_korf, '4 7 13 10 1 2 9 6 12 8 14 5 3 B 11 15', 44, 32, 2618735, 0.122269, 2.14178e+07
x, ida, Manhattan, 15puzzle_korf, '6 B 5 10 11 12 9 2 1 7 4 3 14 8 13 15', 45, 35, 2380359, 0.110477, 2.15462e+07
x, ida, Manhattan, 15puzzle_korf, '9 5 11 10 13 B 2 1 8 6 14 12 4 7 3 15', 52, 34, 102170208, 4.77908, 2.13786e+07
x, ida, Manhattan, 15puzzle_korf, '15 2 12 11 14 13 9 5 1 3 8 7 B 10 6 4', 65, 43, 6195467152, 293.009, 2.11443e+07
x, ida, Manhattan, 15puzzle_korf, '11 1 7 4 10 13 3 8 9 14 B 15 6 5 2 12', 54, 38, 152847972, 7.11675, 2.14772e+07
x, ida, Manhattan, 15puzzle_korf, '5 4 7 1 11 12 14 15 10 13 8 6 2 B 9 3', 50, 36, 5381052, 0.251437, 2.14012e+07
x, ida, Manhattan, 15puzzle_korf, '9 7 5 2 14 15 12 10 11 3 6 1 8 13 B 4', 57, 41, 598458905, 27.8083, 2.15208e+07
x, ida, Manhattan, 15puzzle_korf, '3 2 7 9 B 15 12 4 6 11 5 14 8 13 10 1', 57, 37, 1274628003, 59.9595, 2.12582e+07
x, ida, Manhattan, 15puzzle_korf, '13 9 14 6 12 8 1 2 3 4 B 7 5 10 11 15', 46, 34, 6010657, 0.286554, 2.09757e+07
x, ida, Manhattan, 15puzzle_korf, '5 7 11 8 B 14 9 13 10 12 3 15 6 1 4 2', 53, 45, 1323673, 0.062044, 2.13344e+07
x, ida, Manhattan, 15puzzle_korf, '4 3 6 13 7 15 9 B 10 5 8 11 2 12 1 14', 50, 34, 18160669, 0.847435, 2.14302e+07
x, ida, Manhattan, 15puzzle_korf, '1 7 15 14 2 6 4 9 12 11 13 3 B 8 5 10', 49, 35, 23896852, 1.10879, 2.15521e+07
x, ida, Manhattan, 15puzzle_korf, '9 14 5 7 8 15 1 2 10 4 13 6 12 B 11 3', 44, 32, 3925261, 0.186706, 2.10238e+07
x, ida, Manhattan, 15puzzle_korf, 'B 11 3 12 5 2 1 9 8 10 14 15 7 4 13 6', 54, 34, 168600876, 7.9961, 2.10854e+07
x, ida, Manhattan, 15puzzle_korf, '7 15 4 B 10 9 2 5 12 11 13 6 1 3 14 8', 57, 39, 110668384, 5.17241, 2.13959e+07
x, ida, Manhattan, 15puzzle_korf, '11 4 B 8 6 10 5 13 12 7 14 3 1 2 9 15', 54, 38, 76237493, 3.5491, 2.14808e+07
