grupo, algorithm, heuristic,domain, instance, cost,h0, generated, time, gen_per_sec
x, astar, Gap, tmp_in, '7 15 8 2 13 6 3 12 11 B 4 10 9 5 1 14', 53, 41, 2631700, 0.791782, 3.32377e+06
x, astar, PDB, entrada, '14 13 15 7 11 12 9 5 6 B 2 1 4 8 10 3', na, na, na, na, na
x, astar, Gap, tmp_in, '13 5 4 10 9 12 8 14 2 3 7 1 B 15 11 6', 55, 43, 1896318, 0.558748, 3.39387e+06
x, astar, Gap, tmp_in, '14 7 8 2 13 11 10 4 9 12 5 B 3 6 1 15', 59, 41, 68248519, 20.1034, 3.39488e+06
x, astar, Gap, tmp_in, '5 12 10 7 15 11 14 B 8 2 1 13 3 4 9 6', 56, 42, 18345029, 5.36993, 3.41625e+06
x, astar, Gap, tmp_in, '4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 B', 56, 42, 2235508, 0.652098, 3.42818e+06
x, astar, Gap, tmp_in, '14 7 1 9 12 3 6 15 8 11 2 5 10 B 4 13', 52, 36, 6319807, 1.89795, 3.3298e+06
x, astar, Gap, tmp_in, '2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 B', 52, 30, 44745484, 14.01, 3.19381e+06
x, astar, Gap, tmp_in, '12 11 15 3 8 B 4 2 6 13 9 5 14 1 10 7', 50, 32, 5180100, 1.57819, 3.28231e+06
x, astar, Gap, tmp_in, '3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 B', 46, 34, 285248, 0.084019, 3.39504e+06
x, astar, Gap, tmp_in, '13 11 8 9 B 15 7 10 4 3 6 14 5 12 2 1', 59, 43, 77791087, 23.5095, 3.30892e+06
x, astar, Gap, tmp_in, '5 9 13 14 6 3 7 12 10 8 4 B 15 2 11 1', 57, 45, 12462934, 3.74817, 3.32508e+06
x, astar, Gap, tmp_in, '14 1 9 6 4 8 12 5 7 2 3 B 10 11 13 15', 45, 35, 79271, 0.022295, 3.55555e+06
x, astar, Gap, tmp_in, '3 6 5 2 10 B 15 14 1 4 13 12 9 8 11 7', 46, 38, 840667, 0.251026, 3.34892e+06
x, astar, Gap, tmp_in, '7 6 8 1 11 5 14 10 3 4 9 13 15 2 B 12', 59, 45, 20848506, 6.53501, 3.19028e+06
x, astar, PDB, entrada, '13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 B', na, na, na, na, na
x, astar, Gap, tmp_in, '1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 B', 42, 26, 799116, 0.227907, 3.50632e+06
x, astar, Gap, tmp_in, '15 14 B 4 11 1 6 13 7 5 8 9 3 2 10 12', 66, 48, 67218603, 21.1035, 3.18519e+06
x, astar, Gap, tmp_in, '6 B 14 12 1 15 9 10 11 4 7 2 8 3 5 13', 55, 43, 3166893, 0.929867, 3.40575e+06
x, astar, Gap, tmp_in, '7 11 8 3 14 B 6 15 1 4 13 9 5 12 2 10', 46, 36, 534248, 0.146106, 3.65658e+06
x, astar, Gap, tmp_in, '6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 B', 52, 36, 8786367, 2.54107, 3.45775e+06
x, astar, Gap, tmp_in, '12 8 14 6 11 4 7 B 5 1 10 15 3 13 9 2', 54, 34, 15665105, 4.9238, 3.18151e+06
x, astar, Gap, tmp_in, '14 3 9 1 15 8 4 5 11 7 10 13 B 2 12 6', 59, 45, 38689614, 11.6096, 3.33256e+06
x, astar, Gap, tmp_in, '10 9 3 11 B 13 2 14 5 6 4 7 8 15 1 12', 49, 35, 1062376, 0.310948, 3.41657e+06
x, astar, Gap, tmp_in, '7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 B', 54, 36, 8390050, 2.4725, 3.39335e+06
x, astar, Gap, tmp_in, '11 4 2 7 1 B 10 15 6 9 14 8 3 13 5 12', 52, 36, 8582393, 2.80846, 3.05591e+06
x, astar, Gap, tmp_in, '5 7 3 12 15 13 14 8 B 10 9 6 1 4 2 11', 58, 42, 36776377, 10.7935, 3.40727e+06
x, astar, Gap, tmp_in, '14 1 8 15 2 6 B 3 9 12 10 13 4 7 5 11', 53, 35, 18025320, 5.29713, 3.40284e+06
x, astar, Gap, tmp_in, '13 14 6 12 4 5 1 B 9 3 10 2 15 11 8 7', 52, 36, 2231778, 0.671133, 3.32539e+06
x, astar, Gap, tmp_in, '9 8 B 2 15 1 4 14 3 10 7 5 11 13 6 12', 54, 40, 1937685, 0.608021, 3.18687e+06
x, astar, Gap, tmp_in, '12 15 2 6 1 14 4 8 5 3 7 B 10 13 9 11', 47, 35, 358406, 0.102999, 3.4797e+06
x, astar, Gap, tmp_in, '12 8 15 13 1 B 5 4 6 3 2 11 9 7 14 10', 50, 42, 446353, 0.125537, 3.55555e+06
x, astar, PDB, entrada, '14 10 9 4 13 6 5 8 2 12 7 B 1 3 11 15', na, na, na, na, na
x, astar, Gap, tmp_in, '14 3 5 15 11 6 13 9 B 10 2 12 4 1 7 8', 60, 44, 24946397, 7.96668, 3.13134e+06
x, astar, Gap, tmp_in, '6 11 7 8 13 2 5 4 1 10 3 9 14 B 12 15', 52, 42, 3543914, 1.08037, 3.28028e+06
x, astar, Gap, tmp_in, '1 6 12 14 3 2 15 8 4 5 13 9 B 7 11 10', 55, 39, 8872138, 2.71537, 3.26738e+06
x, astar, Gap, tmp_in, '12 6 B 4 7 3 15 1 13 9 8 11 2 14 5 10', 52, 38, 5299492, 1.62638, 3.25845e+06
x, astar, Gap, tmp_in, '8 1 7 12 11 B 10 5 9 15 6 13 14 2 3 4', 58, 42, 25893084, 7.82186, 3.31035e+06
x, astar, Gap, tmp_in, '9 B 4 10 1 14 15 3 12 6 5 7 11 13 8 2', 49, 37, 2060489, 0.596354, 3.45514e+06
x, astar, Gap, tmp_in, '11 5 1 14 4 12 10 B 2 7 13 3 9 15 6 8', 54, 38, 11359376, 3.42244, 3.31909e+06
x, astar, Gap, tmp_in, '8 13 10 9 11 3 15 6 B 1 2 14 12 5 4 7', 54, 36, 13673062, 4.25727, 3.2117e+06
x, astar, Gap, tmp_in, '4 5 7 2 9 14 12 13 B 3 6 11 8 1 15 10', 42, 32, 102555, 0.028889, 3.54997e+06
x, astar, Gap, tmp_in, '11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 B', 64, 50, 6871543, 2.06756, 3.3235e+06
x, astar, Gap, tmp_in, '12 9 B 6 8 3 5 14 2 4 11 7 10 1 15 13', 50, 34, 5821475, 1.75999, 3.30767e+06
x, astar, Gap, tmp_in, '3 14 9 7 12 15 B 4 1 8 5 6 11 10 2 13', 51, 39, 1743054, 0.529121, 3.29424e+06
x, astar, Gap, tmp_in, '8 4 6 1 14 12 2 15 13 10 9 5 3 7 B 11', 49, 39, 831336, 0.238427, 3.48675e+06
x, astar, Gap, tmp_in, '6 10 1 14 15 8 3 5 13 B 2 7 4 9 11 12', 47, 35, 436417, 0.124459, 3.50651e+06
x, astar, Gap, tmp_in, '8 11 4 6 7 3 10 9 2 12 15 13 B 1 5 14', 49, 41, 139421, 0.039287, 3.54878e+06
x, astar, Gap, tmp_in, '10 B 2 4 5 1 6 12 11 13 9 7 15 3 14 8', 59, 39, 50993608, 15.9063, 3.20587e+06
x, astar, Gap, tmp_in, '12 5 13 11 2 10 B 9 7 8 4 3 14 6 15 1', 53, 41, 2012727, 0.595199, 3.3816e+06
x, astar, Gap, tmp_in, '10 2 8 4 15 B 1 14 11 13 3 6 9 7 5 12', 56, 44, 1378077, 0.409006, 3.36933e+06
x, astar, Gap, tmp_in, '10 8 B 12 3 7 6 2 1 14 4 11 15 13 9 5', 56, 42, 13205684, 3.98597, 3.31304e+06
x, astar, Gap, tmp_in, '14 9 12 13 15 4 8 10 B 2 1 7 3 11 5 6', 64, 52, 83040127, 24.8876, 3.3366e+06
x, astar, Gap, tmp_in, '12 11 B 8 10 2 13 15 5 4 7 3 6 9 14 1', 56, 40, 18528474, 5.57908, 3.32106e+06
x, astar, Gap, tmp_in, '13 8 14 3 9 1 B 7 15 5 4 10 12 2 6 11', 41, 29, 218237, 0.064626, 3.37692e+06
x, astar, Gap, tmp_in, '3 15 2 5 11 6 4 7 12 9 1 B 13 14 10 8', 55, 31, 77740991, 24.4214, 3.18332e+06
x, astar, Gap, tmp_in, '5 11 6 9 4 13 12 B 8 2 15 10 1 7 3 14', 50, 38, 539136, 0.171204, 3.14909e+06
x, astar, Gap, tmp_in, '5 B 15 8 4 6 1 14 10 11 3 9 7 12 2 13', 51, 39, 785241, 0.289312, 2.71417e+06
x, astar, PDB, entrada, '15 14 6 7 10 1 B 11 12 8 4 9 2 5 13 3', na, na, na, na, na
x, astar, PDB, entrada, '11 14 13 1 2 3 12 4 15 7 9 5 10 6 8 B', na, na, na, na, na
x, astar, Gap, tmp_in, '6 13 3 2 11 9 5 10 1 7 12 14 8 4 B 15', 45, 33, 1201736, 0.378001, 3.17919e+06
x, astar, Gap, tmp_in, '4 6 12 B 14 2 9 13 11 8 3 15 7 10 1 5', 57, 43, 17883540, 5.39205, 3.31665e+06
x, astar, PDB, entrada, '8 10 9 11 14 1 7 15 13 4 B 12 6 2 5 3', na, na, na, na, na
x, astar, Gap, tmp_in, '5 2 14 B 7 8 6 3 11 12 13 15 4 10 9 1', 51, 33, 17019998, 5.09847, 3.33825e+06
x, astar, Gap, tmp_in, '7 8 3 2 10 12 4 6 11 13 5 15 B 1 9 14', 47, 33, 1068376, 0.324647, 3.29089e+06
x, astar, PDB, entrada, '11 6 14 12 3 5 1 15 8 B 10 13 9 7 4 2', na, na, na, na, na
x, astar, Gap, tmp_in, '7 1 2 4 8 3 6 11 10 15 B 5 14 12 13 9', 50, 32, 5752681, 1.72862, 3.32791e+06
x, astar, Gap, tmp_in, '7 3 1 13 12 10 5 2 8 B 6 11 14 15 4 9', 51, 33, 11019285, 3.51768, 3.13254e+06
x, astar, Gap, tmp_in, '6 B 5 15 1 14 4 9 2 13 8 10 11 12 7 3', 53, 37, 19644698, 5.99747, 3.2755e+06
x, astar, Gap, tmp_in, '15 1 3 12 4 B 6 5 2 8 14 9 13 10 7 11', 52, 30, 15033464, 4.73445, 3.17533e+06
x, astar, Gap, tmp_in, '5 7 B 11 12 1 9 10 15 6 2 3 8 4 13 14', 44, 30, 1092693, 0.344925, 3.16791e+06
x, astar, Gap, tmp_in, '12 15 11 10 4 5 14 B 13 7 1 2 9 8 3 6', 56, 38, 98168069, 29.3823, 3.34106e+06
x, astar, Gap, tmp_in, '6 14 10 5 15 8 7 1 3 4 2 B 12 9 11 13', 49, 37, 489348, 0.136233, 3.59199e+06
x, astar, Gap, tmp_in, '14 13 4 11 15 8 6 9 B 7 3 1 2 10 12 5', 56, 48, 977024, 0.284942, 3.42885e+06
x, astar, Gap, tmp_in, '14 4 B 10 6 5 1 3 9 2 13 15 12 7 8 11', 48, 32, 3401273, 0.981247, 3.46628e+06
x, astar, Gap, tmp_in, '15 10 8 3 B 6 9 5 1 14 13 11 7 2 12 4', 57, 43, 19628556, 5.82302, 3.37085e+06
x, astar, Gap, tmp_in, 'B 13 2 4 12 14 6 9 15 1 10 3 11 5 8 7', 54, 36, 3343299, 1.0095, 3.31183e+06
x, astar, Gap, tmp_in, '3 14 13 6 4 15 8 9 5 12 10 B 2 7 1 11', 53, 41, 2909158, 0.876101, 3.32057e+06
x, astar, Gap, tmp_in, 'B 1 9 7 11 13 5 3 14 12 4 2 8 6 10 15', 42, 28, 323219, 0.09341, 3.46022e+06
x, astar, Gap, tmp_in, '11 B 15 8 13 12 3 5 10 1 4 6 14 9 7 2', 57, 43, 17737037, 5.38207, 3.29558e+06
x, astar, Gap, tmp_in, '13 B 9 12 11 6 3 5 15 8 1 10 4 14 2 7', 53, 39, 1600294, 0.517084, 3.09484e+06
