grupo, algorithm, heuristic,domain, instance, cost,h0, generated, time, gen_per_sec
x, ida, manhattan, 15puzzle_korf, '7 15 8 2 13 6 3 12 11 B 4 10 9 5 1 14', 53, 41, 5397479, 1.14103, 4.73035e+06
x, ida, manhattan, 15puzzle_korf, '14 13 15 7 11 12 9 5 6 B 2 1 4 8 10 3', 57, 41, 358771337, 74.0993, 4.84176e+06
x, ida, manhattan, 15puzzle_korf, '13 5 4 10 9 12 8 14 2 3 7 1 B 15 11 6', 55, 43, 3181190, 0.696196, 4.56939e+06
x, ida, manhattan, 15puzzle_korf, '14 7 8 2 13 11 10 4 9 12 5 B 3 6 1 15', 59, 41, 181953284, 38.319, 4.74838e+06
x, ida, manhattan, 15puzzle_korf, '5 12 10 7 15 11 14 B 8 2 1 13 3 4 9 6', 56, 42, 21513796, 4.41387, 4.87414e+06
x, ida, manhattan, 15puzzle_korf, '4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 B', 56, 42, 4770713, 0.997442, 4.78295e+06
x, ida, manhattan, 15puzzle_korf, '14 7 1 9 12 3 6 15 8 11 2 5 10 B 4 13', 52, 36, 6200608, 1.31038, 4.73191e+06
x, ida, manhattan, 15puzzle_korf, '2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 B', 52, 30, 77767523, 16.1686, 4.80979e+06
x, ida, manhattan, 15puzzle_korf, '12 11 15 3 8 B 4 2 6 13 9 5 14 1 10 7', 50, 32, 21340591, 4.40195, 4.84798e+06
x, ida, manhattan, 15puzzle_korf, '3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 B', 46, 34, 1151218, 0.237398, 4.84932e+06
x, ida, manhattan, 15puzzle_korf, '13 11 8 9 B 15 7 10 4 3 6 14 5 12 2 1', 59, 43, 217971595, 44.7293, 4.87313e+06
x, ida, manhattan, 15puzzle_korf, '5 9 13 14 6 3 7 12 10 8 4 B 15 2 11 1', 57, 45, 34501640, 7.24009, 4.76536e+06
x, ida, manhattan, 15puzzle_korf, '14 1 9 6 4 8 12 5 7 2 3 B 10 11 13 15', 45, 35, 92330, 0.021142, 4.36714e+06
x, ida, manhattan, 15puzzle_korf, '3 6 5 2 10 B 15 14 1 4 13 12 9 8 11 7', 46, 38, 519928, 0.110175, 4.71911e+06
x, ida, manhattan, 15puzzle_korf, '7 6 8 1 11 5 14 10 3 4 9 13 15 2 B 12', 59, 45, 63812721, 13.2395, 4.81986e+06
x, ida, manhattan, 15puzzle_korf, '13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 B', 62, 44, 139741689, 29.0209, 4.8152e+06
x, ida, manhattan, 15puzzle_korf, '1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 B', 42, 26, 1780309, 0.361225, 4.92853e+06
x, ida, manhattan, 15puzzle_korf, '15 14 B 4 11 1 6 13 7 5 8 9 3 2 10 12', 66, 48, 144721720, 30.8881, 4.68535e+06
x, ida, manhattan, 15puzzle_korf, '6 B 14 12 1 15 9 10 11 4 7 2 8 3 5 13', 55, 43, 14973367, 3.10058, 4.82922e+06
x, ida, manhattan, 15puzzle_korf, '7 11 8 3 14 B 6 15 1 4 13 9 5 12 2 10', 46, 36, 1491950, 0.305118, 4.88975e+06
x, ida, manhattan, 15puzzle_korf, '6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 B', 52, 36, 22665330, 4.65829, 4.86559e+06
x, ida, manhattan, 15puzzle_korf, '12 8 14 6 11 4 7 B 5 1 10 15 3 13 9 2', 54, 34, 172338168, 35.6055, 4.84022e+06
x, ida, manhattan, 15puzzle_korf, '14 3 9 1 15 8 4 5 11 7 10 13 B 2 12 6', 59, 45, 44844784, 9.43253, 4.75427e+06
x, ida, manhattan, 15puzzle_korf, '10 9 3 11 B 13 2 14 5 6 4 7 8 15 1 12', 49, 35, 2314473, 0.478705, 4.83486e+06
x, ida, manhattan, 15puzzle_korf, '7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 B', 54, 36, 22417740, 4.62441, 4.8477e+06
x, ida, manhattan, 15puzzle_korf, '11 4 2 7 1 B 10 15 6 9 14 8 3 13 5 12', 52, 36, 16865977, 3.46313, 4.87016e+06
x, ida, manhattan, 15puzzle_korf, '5 7 3 12 15 13 14 8 B 10 9 6 1 4 2 11', 58, 42, 107180527, 22.0846, 4.85319e+06
x, ida, manhattan, 15puzzle_korf, '14 1 8 15 2 6 B 3 9 12 10 13 4 7 5 11', 53, 35, 40156710, 8.29585, 4.84058e+06
x, ida, manhattan, 15puzzle_korf, '13 14 6 12 4 5 1 B 9 3 10 2 15 11 8 7', 52, 36, 5361777, 1.11296, 4.81757e+06
x, ida, manhattan, 15puzzle_korf, '9 8 B 2 15 1 4 14 3 10 7 5 11 13 6 12', 54, 40, 6436532, 1.33594, 4.81797e+06
x, ida, manhattan, 15puzzle_korf, '12 15 2 6 1 14 4 8 5 3 7 B 10 13 9 11', 47, 35, 727614, 0.156758, 4.64164e+06
x, ida, manhattan, 15puzzle_korf, '12 8 15 13 1 B 5 4 6 3 2 11 9 7 14 10', 50, 42, 280063, 0.058648, 4.77532e+06
x, ida, manhattan, 15puzzle_korf, '14 10 9 4 13 6 5 8 2 12 7 B 1 3 11 15', 59, 43, 236033371, 48.4214, 4.87456e+06
x, ida, manhattan, 15puzzle_korf, '14 3 5 15 11 6 13 9 B 10 2 12 4 1 7 8', 60, 44, 94893409, 19.541, 4.85612e+06
x, ida, manhattan, 15puzzle_korf, '6 11 7 8 13 2 5 4 1 10 3 9 14 B 12 15', 52, 42, 5830313, 1.20937, 4.82097e+06
x, ida, manhattan, 15puzzle_korf, '1 6 12 14 3 2 15 8 4 5 13 9 B 7 11 10', 55, 39, 16383319, 3.57206, 4.58652e+06
x, ida, manhattan, 15puzzle_korf, '12 6 B 4 7 3 15 1 13 9 8 11 2 14 5 10', 52, 38, 8154643, 1.72654, 4.72311e+06
x, ida, manhattan, 15puzzle_korf, '8 1 7 12 11 B 10 5 9 15 6 13 14 2 3 4', 58, 42, 60236681, 12.5845, 4.7866e+06
x, ida, manhattan, 15puzzle_korf, '9 B 4 10 1 14 15 3 12 6 5 7 11 13 8 2', 49, 37, 5148350, 1.05449, 4.88233e+06
x, ida, manhattan, 15puzzle_korf, '11 5 1 14 4 12 10 B 2 7 13 3 9 15 6 8', 54, 38, 27834585, 5.77747, 4.81778e+06
x, ida, manhattan, 15puzzle_korf, '8 13 10 9 11 3 15 6 B 1 2 14 12 5 4 7', 54, 36, 45089295, 9.33611, 4.82956e+06
x, ida, manhattan, 15puzzle_korf, '4 5 7 2 9 14 12 13 B 3 6 11 8 1 15 10', 42, 32, 66063, 0.018429, 3.58473e+06
x, ida, manhattan, 15puzzle_korf, '11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 B', 64, 50, 22869176, 4.88811, 4.67853e+06
x, ida, manhattan, 15puzzle_korf, '12 9 B 6 8 3 5 14 2 4 11 7 10 1 15 13', 50, 34, 14953252, 3.10981, 4.80841e+06
x, ida, manhattan, 15puzzle_korf, '3 14 9 7 12 15 B 4 1 8 5 6 11 10 2 13', 51, 39, 1473862, 0.345344, 4.26781e+06
x, ida, manhattan, 15puzzle_korf, '8 4 6 1 14 12 2 15 13 10 9 5 3 7 B 11', 49, 39, 1137402, 0.279627, 4.06757e+06
x, ida, manhattan, 15puzzle_korf, '6 10 1 14 15 8 3 5 13 B 2 7 4 9 11 12', 47, 35, 1310269, 0.280414, 4.67262e+06
x, ida, manhattan, 15puzzle_korf, '8 11 4 6 7 3 10 9 2 12 15 13 B 1 5 14', 49, 41, 224682, 0.04662, 4.81943e+06
x, ida, manhattan, 15puzzle_korf, '10 B 2 4 5 1 6 12 11 13 9 7 15 3 14 8', 59, 39, 105101552, 21.6671, 4.85074e+06
x, ida, manhattan, 15puzzle_korf, '12 5 13 11 2 10 B 9 7 8 4 3 14 6 15 1', 53, 41, 16708751, 3.44966, 4.84359e+06
x, ida, manhattan, 15puzzle_korf, '10 2 8 4 15 B 1 14 11 13 3 6 9 7 5 12', 56, 44, 2789538, 0.575401, 4.84799e+06
x, ida, manhattan, 15puzzle_korf, '10 8 B 12 3 7 6 2 1 14 4 11 15 13 9 5', 56, 42, 29061568, 6.00885, 4.83646e+06
x, ida, manhattan, 15puzzle_korf, '14 9 12 13 15 4 8 10 B 2 1 7 3 11 5 6', 64, 52, 596165569, 123.816, 4.81495e+06
x, ida, manhattan, 15puzzle_korf, '12 11 B 8 10 2 13 15 5 4 7 3 6 9 14 1', 56, 40, 81827335, 17.6556, 4.63464e+06
x, ida, manhattan, 15puzzle_korf, '13 8 14 3 9 1 B 7 15 5 4 10 12 2 6 11', 41, 29, 559173, 0.112278, 4.98025e+06
x, ida, manhattan, 15puzzle_korf, '3 15 2 5 11 6 4 7 12 9 1 B 13 14 10 8', 55, 31, 251842574, 51.6237, 4.87843e+06
x, ida, manhattan, 15puzzle_korf, '5 11 6 9 4 13 12 B 8 2 15 10 1 7 3 14', 50, 38, 1265510, 0.257829, 4.90833e+06
x, ida, manhattan, 15puzzle_korf, '5 B 15 8 4 6 1 14 10 11 3 9 7 12 2 13', 51, 39, 2104503, 0.452031, 4.65566e+06
x, ida, manhattan, 15puzzle_korf, '15 14 6 7 10 1 B 11 12 8 4 9 2 5 13 3', 57, 35, 1240802910, 254.696, 4.87171e+06
x, ida, manhattan, 15puzzle_korf, '11 14 13 1 2 3 12 4 15 7 9 5 10 6 8 B', 66, 48, 304931509, 62.8772, 4.84963e+06
x, ida, manhattan, 15puzzle_korf, '6 13 3 2 11 9 5 10 1 7 12 14 8 4 B 15', 45, 33, 1617935, 0.328154, 4.93041e+06
x, ida, manhattan, 15puzzle_korf, '4 6 12 B 14 2 9 13 11 8 3 15 7 10 1 5', 57, 43, 14130763, 2.89523, 4.8807e+06
x, ida, manhattan, 15puzzle_korf, '8 10 9 11 14 1 7 15 13 4 B 12 6 2 5 3', 56, 40, 452445664, 92.2118, 4.90659e+06
