grupo, algorithm, domain, instance, cost, h0, generated, time, gen_per_sec
x, dfid, 15puzzle_korf.txt, '7 15 8 2 13 6 3 12 11 B 4 10 9 5 1 14', 53, 41, 5397479, 0.940096, 5.74141e+06
x, dfid, 15puzzle_korf.txt, '14 13 15 7 11 12 9 5 6 B 2 1 4 8 10 3', 57, 41, 358771337, 59.8233, 5.99718e+06
x, dfid, 15puzzle_korf.txt, '13 5 4 10 9 12 8 14 2 3 7 1 B 15 11 6', 55, 43, 3181190, 0.519675, 6.1215e+06
x, dfid, 15puzzle_korf.txt, '14 7 8 2 13 11 10 4 9 12 5 B 3 6 1 15', 59, 41, 181953284, 29.9626, 6.07267e+06
x, dfid, 15puzzle_korf.txt, '5 12 10 7 15 11 14 B 8 2 1 13 3 4 9 6', 56, 42, 21513796, 3.5118, 6.12614e+06
x, dfid, 15puzzle_korf.txt, '4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 B', 56, 42, 4770713, 0.790281, 6.03673e+06
x, dfid, 15puzzle_korf.txt, '14 7 1 9 12 3 6 15 8 11 2 5 10 B 4 13', 52, 36, 6200608, 1.01936, 6.08282e+06
x, dfid, 15puzzle_korf.txt, '2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 B', 52, 30, 77767523, 12.6547, 6.14536e+06
x, dfid, 15puzzle_korf.txt, '12 11 15 3 8 B 4 2 6 13 9 5 14 1 10 7', 50, 32, 21340591, 3.57378, 5.97144e+06
x, dfid, 15puzzle_korf.txt, '3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 B', 46, 34, 1151218, 0.189396, 6.07836e+06
