grupo, algorithm, heuristic,weight ,domain, instance, cost,h0, generated, time, gen_per_sec
x, wida, Manhattan ,2 ,15puzzle_korf, '7 15 8 2 13 6 3 12 11 B 4 10 9 5 1 14', 73, 82, 372985, 0.016397, 2.27471e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '14 13 15 7 11 12 9 5 6 B 2 1 4 8 10 3', 73, 82, 925902, 0.039886, 2.32137e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '13 5 4 10 9 12 8 14 2 3 7 1 B 15 11 6', 83, 86, 33899, 0.001586, 2.13739e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '14 7 8 2 13 11 10 4 9 12 5 B 3 6 1 15', 75, 82, 87577, 0.003858, 2.27001e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '5 12 10 7 15 11 14 B 8 2 1 13 3 4 9 6', 80, 84, 1504402, 0.063932, 2.35313e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 B', 78, 84, 401650, 0.017237, 2.33016e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '14 7 1 9 12 3 6 15 8 11 2 5 10 B 4 13', 68, 72, 15418, 0.000676, 2.28077e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 B', 56, 60, 251127, 0.010844, 2.31582e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '12 11 15 3 8 B 4 2 6 13 9 5 14 1 10 7', 62, 64, 580297, 0.025243, 2.29884e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 B', 58, 64, 19235, 0.000839, 2.29261e+07
x, wida, Manhattan ,2 ,15puzzle_korf, '13 11 8 9 B 15 7 10 4 3 6 14 5 12 2 1', 81, 86, 180312, 0.007627, 2.36413e+07
