grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
x, dfid, pancake16.txt, '15 7 1 8 10 9 11 4 0 5 2 3 14 12 6 13', na, na, na, na 
x, dfid, pancake16.txt, '9 6 2 0 15 7 13 12 3 8 11 4 1 5 14 10', na, na, na, na 
x, dfid, pancake16.txt, '1 12 13 9 7 6 15 14 0 2 3 4 5 11 10 8', na, na, na, na 
x, dfid, pancake16.txt, '3 4 5 6 7 8 9 10 11 12 15 14 13 0 1 2', 4, 508529, 0.013862, 3.66851e+07
x, dfid, pancake16.txt, '4 3 12 11 10 0 9 2 5 1 8 7 6 13 14 15', na, na, na, na 
x, dfid, pancake16.txt, '1 13 0 2 9 12 11 8 14 15 4 5 6 7 3 10', na, na, na, na 
x, dfid, pancake16.txt, '14 3 0 10 1 9 8 7 2 5 4 15 12 13 6 11', na, na, na, na 
x, dfid, pancake16.txt, '11 12 14 13 10 9 8 0 1 2 3 4 5 6 7 15', 4, 133099, 0.003495, 3.80827e+07
x, dfid, pancake16.txt, '14 15 13 10 9 8 11 12 7 6 5 4 3 2 1 0', 6, 12380520, 0.3255, 3.80354e+07
x, dfid, pancake16.txt, '13 12 11 10 9 8 7 6 5 4 3 2 1 0 14 15', 1, 197, 7e-06, 2.81429e+07
x, dfid, pancake16.txt, '4 8 6 2 3 0 13 14 7 9 11 1 12 5 15 10', na, na, na, na 
x, dfid, pancake16.txt, '5 0 1 2 3 4 12 13 14 15 6 7 8 9 10 11', 4, 419273, 0.011068, 3.78816e+07
x, dfid, pancake16.txt, '1 0 8 9 10 7 11 2 3 12 13 14 4 5 6 15', 7, 752985379, 20.4726, 3.67801e+07
x, dfid, pancake16.txt, '4 5 3 2 1 0 6 7 8 9 10 11 12 13 14 15', 2, 288, 9e-06, 3.2e+07
x, dfid, pancake16.txt, '9 10 8 7 6 3 2 1 0 4 5 11 12 13 14 15', 4, 72249, 0.001906, 3.79061e+07
x, dfid, pancake16.txt, '5 4 3 2 1 0 6 7 8 9 12 11 10 13 14 15', 4, 243130, 0.006411, 3.79239e+07
x, dfid, pancake16.txt, '15 0 1 3 2 5 6 12 11 10 9 8 7 4 14 13', na, na, na, na 
x, dfid, pancake16.txt, '6 7 12 11 10 9 8 5 4 3 2 1 0 13 14 15', 3, 18967, 0.000511, 3.71174e+07
x, dfid, pancake16.txt, '3 1 0 6 5 4 2 7 8 9 10 11 12 13 14 15', 5, 3038287, 0.080138, 3.79132e+07
x, dfid, pancake16.txt, '7 8 9 10 6 5 4 3 0 1 2 11 12 13 14 15', 3, 11022, 0.000303, 3.63762e+07
x, dfid, pancake16.txt, '15 3 4 5 6 7 8 2 1 0 10 11 12 13 14 9', 6, 57119041, 1.50168, 3.80369e+07
x, dfid, pancake16.txt, '2 3 4 11 14 10 7 0 5 1 13 12 8 9 6 15', na, na, na, na 
x, dfid, pancake16.txt, '9 8 7 6 5 10 3 2 1 0 11 14 13 12 4 15', 6, 40131571, 1.05579, 3.80108e+07
x, dfid, pancake16.txt, '10 9 4 14 15 3 0 7 12 6 1 8 11 13 5 2', na, na, na, na 
x, dfid, pancake16.txt, '2 1 0 14 3 4 5 6 7 8 9 10 11 12 13 15', 3, 12031, 0.000331, 3.63474e+07
x, dfid, pancake16.txt, '4 3 1 2 0 12 5 6 7 8 11 13 14 10 9 15', na, na, na, na 
x, dfid, pancake16.txt, '3 7 6 5 14 0 1 2 4 8 9 10 13 12 11 15', 7, 856340748, 22.4506, 3.81434e+07
x, dfid, pancake16.txt, '6 7 5 4 3 2 1 0 8 9 10 11 12 13 14 15', 2, 318, 1e-05, 3.18e+07
x, dfid, pancake16.txt, '0 5 1 8 3 4 15 2 6 12 14 10 11 9 7 13', na, na, na, na 
x, dfid, pancake16.txt, '10 9 6 0 1 5 7 8 4 3 2 11 12 13 14 15', 6, 84711802, 2.21291, 3.82807e+07
x, dfid, pancake16.txt, '15 14 13 12 11 10 9 8 7 6 5 4 3 0 1 2', 2, 3212, 9.9e-05, 3.24444e+07
x, dfid, pancake16.txt, '1 2 3 4 5 6 7 8 9 10 11 12 13 0 14 15', 2, 2729, 9.1e-05, 2.9989e+07
x, dfid, pancake16.txt, '7 11 12 13 14 10 9 8 6 5 4 3 2 1 0 15', 4, 311338, 0.00813, 3.8295e+07
x, dfid, pancake16.txt, '3 12 0 8 7 9 11 10 13 6 5 15 14 2 1 4', na, na, na, na 
x, dfid, pancake16.txt, '1 0 8 7 6 5 4 3 2 9 10 11 12 13 14 15', 4, 66610, 0.001767, 3.76967e+07
x, dfid, pancake16.txt, '10 0 1 9 14 3 2 12 8 7 13 15 6 5 4 11', na, na, na, na 
x, dfid, pancake16.txt, '3 4 5 6 7 1 12 11 8 9 2 0 10 13 14 15', 8, 1684622718, 380.984, 4.42177e+06
x, dfid, pancake16.txt, '12 13 14 11 10 9 8 7 6 5 4 3 2 1 0 15', 2, 634, 1.9e-05, 3.33684e+07
x, dfid, pancake16.txt, '0 1 2 3 9 8 10 11 12 13 14 15 4 5 6 7', 6, 31346534, 0.818741, 3.82863e+07
x, dfid, pancake16.txt, '12 7 9 13 14 10 11 15 3 0 4 6 5 2 1 8', na, na, na, na 
x, dfid, pancake16.txt, '7 10 0 3 8 9 13 12 1 2 6 11 14 15 5 4', na, na, na, na 
x, dfid, pancake16.txt, '9 10 11 12 2 1 8 0 4 5 6 3 7 13 14 15', 8, 1887710979, 163.354, 1.1556e+07
x, dfid, pancake16.txt, '14 13 3 0 7 9 2 6 10 8 4 15 1 12 11 5', na, na, na, na 
x, dfid, pancake16.txt, '7 2 1 13 15 14 8 5 0 3 10 6 11 12 4 9', na, na, na, na 
x, dfid, pancake16.txt, '3 8 9 6 11 4 14 0 1 7 15 2 10 5 12 13', na, na, na, na 
x, dfid, pancake16.txt, '7 6 5 4 3 2 8 9 10 11 12 13 1 0 14 15', 3, 17293, 0.000471, 3.67155e+07
x, dfid, pancake16.txt, '11 10 1 2 3 12 15 13 4 5 6 7 8 9 0 14', na, na, na, na 
x, dfid, pancake16.txt, '3 2 1 0 6 7 8 9 10 11 12 13 4 5 14 15', 3, 35340, 0.000945, 3.73968e+07
x, dfid, pancake16.txt, '13 4 15 6 7 12 10 3 5 1 9 2 11 14 0 8', na, na, na, na 
x, dfid, pancake16.txt, '14 7 0 5 13 4 10 15 12 6 2 8 3 9 11 1', na, na, na, na 
x, dfid, pancake16.txt, '0 1 2 6 5 4 3 7 8 9 10 11 12 13 14 15', 3, 18666, 0.000502, 3.71833e+07
x, dfid, pancake16.txt, '12 3 2 1 0 6 7 8 9 4 11 10 5 13 14 15', 6, 99523069, 2.59743, 3.8316e+07
x, dfid, pancake16.txt, '14 12 10 15 13 5 4 3 6 11 8 7 0 1 2 9', na, na, na, na 
x, dfid, pancake16.txt, '6 7 8 9 10 12 13 3 2 11 14 15 5 4 1 0', 8, 3083170415, 195.463, 1.57737e+07
